Name,Number,Source,Position,Trigger,Anode,Cathode,Shield,Livetime,Corrected Livetime,Events,Corrected Events,Processed,Category,Comment
xe100_150120_1648,1501201648,YBe,other,S1,4.4,5.4,closed,89499.5,89499.5,208549,208549,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150121_1733,1501211733,YBe,other,S1,4.4,5.4,closed,92103.2,92103.2,211466,211466,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150122_1914,1501221914,YBe,other,S1,4.4,5.4,closed,45825.9,45825.9,103160,103160,0.4.5,,"YBe dataset - NO HE veto - flushing through radon source - while filling column, column power failure at 23/01/2015 06:11"
xe100_150123_0755,1501230755,YBe,other,S1,4.4,5.4,closed,120190,119271,264555,262369,0.4.5,,"YBe dataset - NO HE veto - flushing through radon source - while filling column, another column power failure at 23/01/2015 14:38"
xe100_150124_1707,1501241707,YBe,other,S1,4.4,5.4,closed,75358.6,75358.6,175780,175780,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150125_1401,1501251401,YBe,other,S1,4.4,5.4,closed,77249.4,77249.4,175698,175698,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150126_1140,1501261140,LED,other,EXT,4.4,5.4,closed,1010.67,,100000,,,,"F1 4.60V, F2 4.85V, width 4usi"
xe100_150126_1225,1501261225,Cs137,red,S1,4.4,5.4,closed,3560.44,3560.4,100000,100000,0.4.5,,"Rn-222 source in loop, 88YBe inside shield, low field, +-220 us window"
xe100_150126_1559,1501261559,YBe,other,S1,4.4,5.4,closed,71684.5,71684.5,160108,160108,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150127_1151,1501271151,YBe,other,S1,4.4,5.4,closed,128212,128212,286968,286968,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150128_2321,1501282321,YBe,other,S1,4.4,5.4,closed,57715.4,57715.4,128397,128397,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150129_1520,1501291520,YBe,other,S1,4.4,5.4,closed,74702.4,74702.4,166417,166417,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - while filling column
xe100_150130_1213,1501301213,LED,other,EXT,4.4,5.4,closed,1050.76,,100000,,,,"F1 4.60V, F2 4.85V, width 4usi, after reversing polarity of amplifier for PMTs 1-16"
xe100_150130_1710,1501301710,YBe,other,S1,4.4,5.4,closed,80601.8,80601.8,178713,178713,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - reversed polarity of PMTs 1-16
xe100_150131_1528,1501311528,YBe,other,S1,4.4,5.4,closed,79710,79710,177176,177176,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - reversed polarity of PMTs 1-16
xe100_150201_1329,1502011329,YBe,other,S1,4.4,5.4,closed,90136.3,90136.3,200350,200350,0.4.5,,YBe dataset - NO HE veto - flushing through radon source - reversed polarity of PMTs 1-16
xe100_150202_1437,1502021437,Cs137,red,S1,4.4,5.4,closed,3437.98,3438,100000,100000,0.4.5,,"Rn-222 source bypassed, 88YBe inside shield, low field, +-220 us window"
xe100_150202_1635,1502021635,YBe,other,S1,4.4,5.4,closed,81221.6,81221.6,177709,177709,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150203_1502,1502031502,YBe,other,S1,4.4,5.4,closed,87127,87127,190399,190399,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150204_1506,1502041506,YBe,other,S1,4.4,5.4,closed,85781,85781,187820,187820,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150205_1447,1502051447,YBe,other,S1,4.4,5.4,closed,76635.4,76635.4,167405,167405,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150206_1157,1502061157,YBe,other,S1,4.4,5.4,closed,83911.9,83911.9,181929,181929,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150207_1112,1502071112,YBe,other,S1,4.4,5.4,closed,38497.3,38497.3,83780,83780,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150207_2150,1502072150,YBe,other,S1,4.4,5.4,closed,129151,129151,280680,280680,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150209_0946,1502090946,YBe,other,S1,4.4,5.4,closed,35819.5,35819.5,65007,65007,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150209_1941,1502091941,YBe,other,S1,4.4,5.4,closed,55795.1,55795.1,120795,120795,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150210_1117,1502101117,LED,other,EXT,4.4,5.4,closed,1066.56,,100000,,,,"F1 4.60V, F2 4.85V, width 4usi"
xe100_150210_1152,1502101152,Cs137,red,S1,4.4,5.4,closed,3482.73,3482.7,100000,100000,0.4.5,,"Rn-222 source bypassed, 88YBe inside shield, low field, +-220 us window"
xe100_150210_1303,1502101303,YBe,other,S1,4.4,5.4,closed,92086.1,92086.1,195097,195000,0.4.5,,YBe dataset - NO HE veto - bypassing radon source
xe100_150211_1520,1502111520,YBe,other,S1,4.4,5.4,closed,1696.35,1696.3,3521,3521,0.4.5,,YBe dataset - NO HE veto - No Processing needed
xe100_150211_1615,1502111615,YBe,other,S1,4.4,5.4,closed,67280.7,67280.7,139595,139595,0.4.5,,YBe dataset - NO HE veto - No Processing needed
xe100_150212_1054,1502121054,Cs137,red,S1,4.4,5.4,closed,3541.13,3541.1,100000,100000,0.4.5,,"To check EL after Column Empt., 88YBe inside shield, low field, +-220 us window"
xe100_150212_1207,1502121207,YBe,other,S1,4.4,5.4,closed,12580.2,12580.2,26191,26191,0.4.5,,YBe dataset - NO HE veto - No Processing needed
xe100_150212_1600,1502121600,YBe,other,S1,4.4,5.4,closed,80139.5,80139.5,163981,163981,0.4.5,,YBe dataset - NO HE veto - No Processing needed
